Model;Sharp MX-M550U
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Тип;лазерный/светодиодный
Технология печати;лазерная
Печать фотографий;-
Копир;+
Сканер;+
Факс;-
Телефон;-
Размещение;напольный
Цветность печати;черно-белая
Макс. формат;A3
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;+
SubCaption;Макс. разрешение для ч/б печати
По X;600
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;55 стр/мин
A3;30 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;120 с
Печать без полей;-
Прямая печать;-
Caption;Копир
Время выхода первой копии;4 с
Макс. количество копий за цикл;999
Шаг масштабирования;1 %
SubCaption;Значение масштаба
Минимальное;25 %
Максимальное;400 %
EndSubCaption;Значение масштаба
SubCaption;Макс. разрешение (ч/б)
По X;600 dpi
По Y;600 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;55 стр/мин
A3;30 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Тип сканера;планшетный/протяжный
Макс. формат оригинала;A4
Оттенки серого;256
Устройство автоподачи оригиналов;двустороннее
Емкость устройства автоподачи оригиналов;150 листов
Отправка изображения по e-mail;+
Стандарт TWAIN;+
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;60 г/м2
Максимальная;205 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Пленках;+
Этикетках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс девелопера;250 000 стр
Количество картриджей;1
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;опционально
PostScript 2;-
PostScript 3;+
PCL 5c;-
PCL 5e;+
PCL 6;+
PPDS;-
PDF;+
EndSubCaption;Языки управления
SubCaption;Количество установленных шрифтов
PostScript;136
PCL;80
EndSubCaption;Количество установленных шрифтов
Caption;Лотки
Емкость лотка ручной подачи;100 листов
SubCaption;Подача бумаги
Стандартная;3 100 листов
Максимальная;6 600 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Электронная сортировка;+
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;-
LPT;-
Инфракрасный порт;-
RS-232;-
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;128 Мб
Макс. объем памяти;384 Мб
Емкость жесткого диска;40 Гб
Процессор;RISC
Частота процессора;525 МГц
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
Диагональ дисплея;8.7``
SubCaption;Поддержка ОС
Windows;+
Linux;-
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;1 840 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;728 мм
Высота;1 192 мм
Глубина;679 мм
Вес;185 кг
Caption;Фото
main_image;sharp_image/SharpMX-M550U_1580735356910.jpg
image;sharp_image/SharpMX-M550U_1580735357728.jpg
