Model;Canon imageRUNNER 1022iF
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Тип;лазерный/светодиодный
Технология печати;лазерная
Печать фотографий;-
Копир;+
Сканер;+
Факс;+
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;+
SubCaption;Макс. разрешение для ч/б печати
По X;1 200
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;22 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;16.5 с
Печать без полей;-
Прямая печать;-
Caption;Копир
Время выхода первой копии;12 с
Макс. количество копий за цикл;99
SubCaption;Значение масштаба
Минимальное;50 %
Максимальное;200 %
EndSubCaption;Значение масштаба
SubCaption;Макс. разрешение (ч/б)
По X;600 dpi
По Y;600 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;22 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Тип сканера;планшетный/протяжный
Макс. формат оригинала;A4
SubCaption;Макс. размер сканирования
По X;216 мм
По Y;297 мм
EndSubCaption;Макс. размер сканирования
SubCaption;Разрешение сканера
По Х;600 dpi
По Y;600 dpi
EndSubCaption;Разрешение сканера
SubCaption;Скорость сканирования
Ч/б;20 изображений/мин., A4, 300 dpi
Цветн.;6 изображений/мин, A4, 300 dpi
EndSubCaption;Скорость сканирования
Оттенки серого;256
Устройство автоподачи оригиналов;одностороннее
Емкость устройства автоподачи оригиналов;50 листов
Отправка изображения по e-mail;+
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;56 г/м2
Максимальная;128 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Пленках;+
Этикетках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Caption;Факс
PC Fax;+
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;+
PCL 6;+
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;600 листов
Максимальная;1 100 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;-
LPT;-
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;256 Мб
Процессор;Canon Custom Processor
Частота процессора;192 МГц
Caption;Дополнительная информация
SubCaption;Поддержка ОС
Windows;+
Linux;-
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;1 000 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;520 мм
Высота;453 мм
Глубина;457 мм
Вес;24.1 кг
Caption;Фото
main_image;canon_image/CanonimageRUNNER1022iF_1580666492099.jpg
image;canon_image/CanonimageRUNNER1022iF_1580666493383.jpg
